Mjódd,Höfuðborgarsvæðið
Sprengisandur,Höfuðborgarsvæðið
Reykjanesbær,Suðvesturhornið
Bjarkalundur,Vestfirðir
Stóragerði,Höfuðborgarsvæðið
Flókalundur,Vestfirðir
Háholt,Höfuðborgarsvæðið
"Akureyri, Kjarnagata",Norðurland
Sandgerði,Suðvesturhornið
Aðalgötu,Suðvesturhornið
Suðurfell,Höfuðborgarsvæðið
Raufarhöfn,Norðurland
Skeifan,Höfuðborgarsvæðið
Skógarsel,Höfuðborgarsvæðið
Grundartangi,Vesturland
Laugarvatn,Suðurland
Patreksfjörður,Vestfirðir
"Akureyri, Furuvellir",Norðurland
Landvegamót,Suðurland
Keflavíkurflugvöllur,Suðvesturhornið
"Sjafnargötu, Akureyri",Norðurland
Neskaupstaður,Austurland
Bæjarlind,Höfuðborgarsvæðið
Hólmavík,Vestfirðir
Bakkafjörður,Norðurland
Hraunbær,Höfuðborgarsvæðið
Fáskrúðsfjörður,Austurland
Kleppsvegur,Höfuðborgarsvæðið
Búðarkór,Höfuðborgarsvæðið
"Akureyri, Glerártorg",Norðurland
Reykjahlíð,Norðurland
Akranes,Vesturland
Ólafsfjörður,Norðurland
Birkimelur,Höfuðborgarsvæðið
Hafnarfjarðarhöfn,Höfuðborgarsvæðið
Fossvogur,Höfuðborgarsvæðið
Akureyri,Norðurland
Dalvegur,Höfuðborgarsvæðið
Bolungarvík,Vestfirðir
Hreðavatnsskáli,Vesturland
Ánanaust,Höfuðborgarsvæðið
Hellissandur,Vesturland
Kjalarnes,Höfuðborgarsvæðið
Ketilás í Fljótum,Norðurland
"Melabraut, Hafnarfirði",Höfuðborgarsvæðið
Freysnes,Suðurland
Dalvík,Norðurland
Akureyri- Leiruvegur,Norðurland
Víðihlíð,Norðurland
Egilsstaðir,Austurland
Reykjavíkurvegur,Höfuðborgarsvæðið
Spöngin,Höfuðborgarsvæðið
Þingeyri,Vestfirðir
Laugar,Norðurland
Drangsnes,Vestfirðir
Ísafirði,Vestfirðir
Borgartún,Höfuðborgarsvæðið
Norðurfjörður,Vestfirðir
Breiðdalsvík,Austurland
Grundarfjörður,Vesturland
Baldursnes,Norðurland
Stekkjarbakki,Höfuðborgarsvæðið
Hveragerði,Suðurland
Gylfaflöt,Höfuðborgarsvæðið
Smárinn,Höfuðborgarsvæðið
Garðabær,Höfuðborgarsvæðið
Salavegur,Höfuðborgarsvæðið
Vallarheiði,Suðvesturhornið
Ásbyrgi,Norðurland
Kópasker,Norðurland
Flateyri,Vestfirðir
Skúlagata,Höfuðborgarsvæðið
Ísafjörður,Vestfirðir
Geysir,Suðurland
Bíldudalur,Vestfirðir
Laugarbakki,Norðurland
"Hveragerði, Sunnumörk",Suðurland
Gullinbrú,Höfuðborgarsvæðið
Árnes,Suðurland
Ferstikla,Vesturland
Klöpp,Höfuðborgarsvæðið
Suðurströnd,Höfuðborgarsvæðið
Ásvellir,Höfuðborgarsvæðið
Garður,Suðvesturhornið
Skagaströnd,Norðurland
Þorlákshöfn,Suðurland
Hæðarsmári,Höfuðborgarsvæðið
Minni Borg,Suðurland
Stórihjalli,Höfuðborgarsvæðið
Eyrarbakki,Suðurland
Kaplakriki,Höfuðborgarsvæðið
"Mosfellsbær, Langitangi",Höfuðborgarsvæðið
Snorrabraut,Höfuðborgarsvæðið
Lækjargata - Hafnarfjörður,Höfuðborgarsvæðið
Kænan,Höfuðborgarsvæðið
Sæbraut,Höfuðborgarsvæðið
Hvolsvöllur,Suðurland
Bíldshöfði,Höfuðborgarsvæðið
Laugabakki,Norðurland
